Date:,9/13/2023,,,,,,,,
Time:,7:50 PM,,,,,,,,
Summary Notes:,half sphere,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Data Timestamp,q,V_ref,Alpha,NF/SF,AF/AF2,PM/YM,P,Orientation,Notes
[yyyymmdd hh:mm:ss.sss],[psf],[mph],[deg],[lbf],[lbf],[in-lbf],[inH2O],,
20230913 19:49:47.328,0,3,-0.1,-0.01,0,-0.07,0,Normal,
20230913 19:49:47.343,0,3,-0.1,-0.04,-0.01,-0.07,0,Normal,
20230913 19:49:47.359,0,4,-0.1,0,-0.01,-0.05,0,Normal,
20230913 19:49:47.375,0,3,-0.1,-0.03,-0.02,-0.06,0,Normal,
20230913 19:49:47.406,0,2,-0.1,-0.04,-0.01,-0.05,0,Normal,
20230913 19:49:47.421,0,3,-0.1,0,-0.01,-0.04,0,Normal,
20230913 19:49:47.437,0,1,-0.1,-0.03,-0.01,-0.04,0,Normal,
20230913 19:49:47.453,0,2,-0.1,-0.01,0,-0.04,0,Normal,
20230913 19:49:47.468,0,1,-0.1,0,0,-0.05,0,Normal,
20230913 19:49:47.484,0,2,-0.1,-0.01,0,-0.03,0,Normal,
20230913 19:49:47.500,0,4,-0.1,-0.01,0,-0.03,0,Normal,
20230913 19:49:47.515,0,4,-0.1,-0.03,0,-0.04,0,Normal,
20230913 19:49:47.531,0,3,-0.1,0.01,0,-0.05,0,Normal,
20230913 19:49:47.546,0,0,-0.1,0,-0.01,-0.03,0,Normal,
20230913 19:49:47.562,0,2,-0.1,-0.02,0,-0.06,0,Normal,
20230913 19:49:47.578,0,2,-0.1,-0.02,0,-0.02,0,Normal,
20230913 19:49:47.593,0,1,-0.1,0.01,0.01,-0.01,0,Normal,
20230913 19:49:47.609,0,2,-0.1,-0.01,-0.01,-0.01,0,Normal,
20230913 19:49:47.625,0,2,-0.1,-0.02,0.01,-0.03,0,Normal,
20230913 19:49:47.640,0,2,-0.1,-0.01,0,-0.06,0,Normal,
20230913 19:49:47.671,0,2,-0.1,-0.01,-0.01,-0.03,0,Normal,
20230913 19:49:47.687,0,3,-0.1,0.01,0.01,-0.04,0,Normal,
20230913 19:49:47.703,0,2,-0.1,-0.01,0,0,0,Normal,
20230913 19:49:47.718,0,4,-0.1,-0.01,-0.01,-0.03,0,Normal,
20230913 19:49:47.734,0,4,-0.1,0.01,0,-0.01,0,Normal,
20230913 19:49:47.750,0,2,-0.1,-0.01,0,-0.03,0,Normal,
20230913 19:49:47.765,0,4,-0.1,0,-0.01,0,0,Normal,
20230913 19:49:47.781,0,3,-0.1,0,0,-0.03,0,Normal,
20230913 19:49:47.796,0,3,-0.1,-0.02,0,-0.02,0,Normal,
20230913 19:49:47.812,0,0,-0.1,-0.01,-0.01,-0.03,0,Normal,
20230913 19:49:47.828,0,3,-0.1,-0.02,0,-0.01,0,Normal,
20230913 19:49:47.843,0.1,5,-0.1,-0.02,0.01,-0.01,0,Normal,
20230913 19:49:47.859,0,2,-0.1,0,0,-0.02,0,Normal,
20230913 19:49:47.875,0,3,-0.1,0,0,-0.04,0,Normal,
20230913 19:49:47.890,0,1,-0.1,0.01,0,-0.04,0,Normal,
20230913 19:49:47.921,0,1,-0.1,0.01,0,-0.02,0,Normal,
20230913 19:49:47.937,0,3,-0.1,-0.04,0.01,0,0,Normal,
20230913 19:49:47.953,0,2,-0.1,0.01,0,-0.03,0,Normal,
20230913 19:49:47.968,0,0,-0.1,-0.01,0,-0.01,0,Normal,
20230913 19:49:47.984,0,3,-0.1,-0.01,0,0,0,Normal,
20230913 19:49:48.000,0,4,-0.1,-0.01,0,-0.02,0,Normal,
20230913 19:49:48.015,0,4,-0.1,0.01,-0.01,-0.03,0,Normal,
20230913 19:49:48.031,0,1,-0.1,0.01,0,-0.02,0,Normal,
20230913 19:49:48.046,0,2,-0.1,0,0,-0.01,0,Normal,
20230913 19:49:48.062,0,3,-0.1,0.01,0,-0.04,0,Normal,
20230913 19:49:48.078,0,3,-0.1,-0.01,0,-0.02,0,Normal,
20230913 19:49:48.093,0,0,-0.1,-0.02,0,-0.02,0,Normal,
20230913 19:49:48.109,0,2,-0.1,-0.01,-0.01,-0.05,0,Normal,
20230913 19:49:48.125,0,2,-0.1,-0.01,0.01,-0.02,0,Normal,
20230913 19:49:48.140,0,3,-0.1,0.01,0,-0.01,0,Normal,
20230913 19:49:48.156,0,3,-0.1,-0.02,0,-0.03,0,Normal,
20230913 19:49:48.187,0,2,-0.1,0.01,0,-0.05,0,Normal,
20230913 19:49:48.203,0,4,-0.1,0.01,0,-0.02,0,Normal,
20230913 19:49:48.218,0,1,-0.1,-0.01,0,-0.02,0,Normal,
20230913 19:49:48.234,0,2,-0.1,0,0.01,-0.03,0,Normal,
20230913 19:49:48.250,0,4,-0.1,0,-0.01,-0.04,0,Normal,
20230913 19:49:48.265,0,2,-0.1,0,0,-0.01,0,Normal,
20230913 19:49:48.281,0,2,-0.1,-0.02,0,-0.04,0,Normal,
20230913 19:49:48.296,0,3,-0.1,-0.01,0,-0.03,0,Normal,
20230913 19:49:48.312,0,3,-0.1,-0.03,-0.01,-0.04,0,Normal,
20230913 19:49:48.328,0,3,-0.1,-0.01,0,-0.04,0,Normal,
20230913 19:49:48.343,0,0,-0.1,-0.01,0,-0.04,0,Normal,
20230913 19:49:48.359,0,3,-0.1,-0.01,0,-0.01,0,Normal,
20230913 19:49:48.375,0,1,-0.1,0,-0.01,-0.04,0,Normal,
20230913 19:49:48.390,0,3,-0.1,-0.02,0,-0.03,0,Normal,
20230913 19:49:48.406,0,2,-0.1,-0.01,0,-0.01,0,Normal,
20230913 19:49:48.421,0,1,-0.1,0.01,0,-0.03,0,Normal,
20230913 19:49:48.453,0,2,-0.1,-0.03,-0.01,-0.02,0,Normal,
20230913 19:49:48.468,0,3,-0.1,0,0,-0.03,0,Normal,
20230913 19:49:48.484,0,1,-0.1,-0.01,0.01,-0.03,0,Normal,
20230913 19:49:48.500,0,2,-0.1,-0.01,0.01,-0.03,0,Normal,
20230913 19:49:48.515,0,2,-0.1,-0.02,0,-0.04,0,Normal,
20230913 19:49:48.531,0,2,-0.1,-0.01,0.01,-0.03,0,Normal,
20230913 19:49:48.546,0,4,-0.1,-0.02,-0.02,-0.04,0,Normal,
20230913 19:49:48.562,0,2,-0.1,0,-0.01,-0.04,0,Normal,
20230913 19:49:48.578,0,3,-0.1,0,-0.01,-0.04,0,Normal,
20230913 19:49:48.593,0,2,-0.1,-0.02,-0.01,-0.04,0,Normal,
20230913 19:49:48.609,0,3,-0.1,-0.01,0,-0.02,0,Normal,
20230913 19:49:48.625,0,3,-0.1,-0.01,0,-0.06,0,Normal,
20230913 19:49:48.640,0,2,-0.1,0,-0.01,-0.04,0,Normal,
20230913 19:49:48.656,0,3,-0.1,0,0,-0.03,0,Normal,
20230913 19:49:48.671,0,3,-0.1,-0.01,0,-0.04,0,Normal,
20230913 19:49:48.687,0,4,-0.1,-0.01,0,-0.03,0,Normal,
20230913 19:49:48.718,0,2,-0.1,0,0,-0.01,0,Normal,
20230913 19:49:48.734,0,1,-0.1,-0.03,0,-0.01,0,Normal,
20230913 19:49:48.750,0,4,-0.1,0,0,-0.03,0,Normal,
20230913 19:49:48.765,0,1,-0.1,-0.04,0,-0.04,0,Normal,
20230913 19:49:48.781,0,2,-0.1,0,0,-0.01,0,Normal,
20230913 19:49:48.796,0,4,-0.1,-0.01,-0.01,-0.04,0,Normal,
20230913 19:49:48.812,0,3,-0.1,0,-0.01,-0.05,0,Normal,
20230913 19:49:48.828,0,2,-0.1,-0.03,0,-0.02,0,Normal,
20230913 19:49:48.843,0,4,-0.1,-0.01,0.01,-0.01,0,Normal,
20230913 19:49:48.859,0,2,-0.1,-0.02,0,-0.05,0,Normal,
20230913 19:49:48.875,0,4,-0.1,0,0,-0.03,0,Normal,
20230913 19:49:48.890,0,2,-0.1,-0.02,-0.01,-0.06,0,Normal,
20230913 19:49:48.906,0,2,-0.1,-0.03,0,-0.04,0,Normal,
20230913 19:49:48.921,0,2,-0.1,0,0,-0.03,0,Normal,
20230913 19:49:48.937,0,2,-0.1,-0.01,0,-0.05,0,Normal,
20230913 19:49:48.953,0,1,-0.1,-0.01,0,-0.06,0,Normal,
20230913 19:49:48.984,0,1,-0.1,-0.01,-0.01,-0.04,0,Normal,
20230913 19:49:49.000,0,4,-0.1,-0.01,-0.01,-0.02,0,Normal,
20230913 19:49:49.015,0,3,-0.1,0,-0.01,-0.06,0,Normal,
20230913 19:49:49.031,0,3,-0.1,-0.02,0,-0.03,0,Normal,
20230913 19:49:49.046,0,3,-0.1,-0.01,0,-0.05,0,Normal,
20230913 19:49:49.062,0,2,-0.1,-0.03,-0.01,-0.06,0,Normal,
20230913 19:49:49.078,0,2,-0.1,-0.02,-0.01,-0.05,0,Normal,
20230913 19:49:49.093,0,4,-0.1,0,0,-0.02,0,Normal,
20230913 19:49:49.109,0,2,-0.1,-0.01,0,-0.04,0,Normal,
20230913 19:49:49.125,0,2,-0.1,-0.01,0.01,-0.05,0,Normal,
20230913 19:49:49.140,0,4,-0.1,-0.01,0.01,-0.02,0,Normal,
20230913 19:49:49.156,0,4,-0.1,0,-0.01,-0.04,0,Normal,
20230913 19:49:49.171,0,2,-0.1,-0.01,0,-0.03,0,Normal,
20230913 19:49:49.187,0,3,-0.1,-0.01,0,-0.02,0,Normal,
20230913 19:49:49.203,0,2,-0.1,0,0,-0.04,0,Normal,
20230913 19:49:49.218,0,4,-0.1,0,0,-0.04,0,Normal,
20230913 19:49:49.250,0,2,-0.1,0,-0.01,-0.03,0,Normal,
20230913 19:49:49.265,0,3,-0.1,0.01,0.01,-0.03,0,Normal,
20230913 19:49:49.281,0,4,-0.1,0.01,0.01,-0.01,0,Normal,
20230913 19:49:49.296,0,4,-0.1,-0.02,0,-0.01,0,Normal,
