Date:,9/13/2023,,,,,,,,
Time:,7:45 PM,,,,,,,,
Summary Notes:,Flat Plate Angle,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Data Timestamp,q,V_ref,Alpha,NF/SF,AF/AF2,PM/YM,P,Orientation,Notes
[yyyymmdd hh:mm:ss.sss],[psf],[mph],[deg],[lbf],[lbf],[in-lbf],[inH2O],,
20230913 19:43:54.343,22.2,93,-0.1,-0.03,1.21,-0.1,0,Normal,
20230913 19:43:54.359,20.9,90,0,-0.04,1.25,0,0,Normal,
20230913 19:43:54.375,21.7,92,-0.1,-0.03,1.11,-0.02,0,Normal,
20230913 19:43:54.390,21.7,92,0,-0.07,1.31,-0.13,0,Normal,
20230913 19:43:54.406,21.4,91,-0.1,-0.01,1.26,-0.06,0,Normal,
20230913 19:43:54.421,22.2,93,0,-0.06,1.2,0.09,0,Normal,
20230913 19:43:54.437,21.6,92,-0.1,-0.01,1.28,-0.02,0,Normal,
20230913 19:43:54.453,22.6,94,-0.1,-0.03,1.29,-0.15,0,Normal,
20230913 19:43:54.468,22.5,94,-0.1,0.07,1.33,0.02,0,Normal,
20230913 19:43:54.484,22.5,94,-0.1,-0.04,1.23,0,0,Normal,
20230913 19:43:54.515,21,91,0,0.03,1.27,-0.16,0,Normal,
20230913 19:43:54.531,22.1,93,-0.1,0,1.13,-0.07,0,Normal,
20230913 19:43:54.546,21.7,92,-0.1,0,1.19,-0.03,0,Normal,
20230913 19:43:54.562,21.8,92,-0.1,-0.03,1.21,0,0,Normal,
20230913 19:43:54.578,21.5,92,-0.1,-0.02,1.29,-0.13,0,Normal,
20230913 19:43:54.593,22.7,94,-0.1,0,1.27,-0.05,0,Normal,
20230913 19:43:54.609,21.3,91,-0.1,0.01,1.26,0,0,Normal,
20230913 19:43:54.625,23.4,96,-0.1,0.01,1.26,0.01,0,Normal,
20230913 19:43:54.640,21.4,92,-0.1,-0.06,1.17,-0.18,0,Normal,
20230913 19:43:54.656,22.5,94,-0.1,0.01,1.36,0.05,0,Normal,
20230913 19:43:54.671,22.8,94,-0.1,0.01,1.2,0,0,Normal,
20230913 19:43:54.687,22.2,93,-0.1,0.01,1.29,0.03,0,Normal,
20230913 19:43:54.703,22.6,94,-0.1,0.02,1.26,-0.02,0,Normal,
20230913 19:43:54.718,22.7,94,0,-0.06,1.27,0.14,0,Normal,
20230913 19:43:54.734,21.5,92,-0.1,0.05,1.19,-0.08,0,Normal,
20230913 19:43:54.750,22.9,95,-0.1,-0.01,1.24,0.05,0,Normal,
20230913 19:43:54.781,22.6,94,-0.1,0.03,1.13,-0.11,0,Normal,
20230913 19:43:54.796,22.6,94,0,-0.02,1.35,0.02,0,Normal,
20230913 19:43:54.812,22.1,93,-0.1,-0.05,1.22,-0.07,0,Normal,
20230913 19:43:54.828,21.1,91,-0.1,0.01,1.28,-0.05,0,Normal,
20230913 19:43:54.843,22.3,93,-0.1,0.03,1.27,-0.04,0,Normal,
20230913 19:43:54.859,21.8,92,-0.1,-0.06,1.27,-0.09,0,Normal,
20230913 19:43:54.875,21.5,92,0,-0.05,1.27,-0.04,0,Normal,
20230913 19:43:54.890,23.3,95,-0.1,0.04,1.23,0,0,Normal,
20230913 19:43:54.906,20.2,89,0,-0.02,1.26,0.03,0,Normal,
20230913 19:43:54.921,22.4,94,-0.1,0.02,1.22,-0.02,0,Normal,
20230913 19:43:54.937,22.4,94,0,-0.05,1.33,-0.04,0,Normal,
20230913 19:43:54.953,21.1,91,-0.1,0.02,1.33,-0.22,0,Normal,
20230913 19:43:54.968,21.6,92,-0.1,-0.05,1.32,-0.06,0,Normal,
20230913 19:43:54.984,22,93,-0.1,-0.06,1.25,-0.1,0,Normal,
20230913 19:43:55.000,21.3,91,-0.1,-0.01,1.31,-0.07,0,Normal,
20230913 19:43:55.015,21.6,92,-0.1,0.02,1.2,-0.04,0,Normal,
20230913 19:43:55.046,21.4,91,0,-0.05,1.31,-0.1,0,Normal,
20230913 19:43:55.062,22.1,93,0,-0.05,1.34,-0.14,0,Normal,
20230913 19:43:55.078,21.1,91,0,-0.05,1.27,-0.1,0,Normal,
20230913 19:43:55.093,21.6,92,0,-0.04,1.32,-0.12,0,Normal,
20230913 19:43:55.109,23,95,0,-0.03,1.22,0.02,0,Normal,
20230913 19:43:55.125,22,93,0,0,1.27,0.09,0,Normal,
20230913 19:43:55.140,21.5,92,-0.1,-0.02,1.12,-0.04,0,Normal,
20230913 19:43:55.156,22.6,94,-0.1,-0.07,1.18,-0.12,0,Normal,
20230913 19:43:55.171,22.1,93,-0.1,0.1,1.14,-0.09,0,Normal,
20230913 19:43:55.187,21.1,91,0,0.01,1.21,-0.1,0,Normal,
20230913 19:43:55.203,21.6,92,0,0.05,1.22,-0.02,0,Normal,
20230913 19:43:55.218,21.2,91,0.1,-0.03,1.29,0.04,0,Normal,
20230913 19:43:55.234,21.7,92,0.1,0,1.25,0.03,0,Normal,
20230913 19:43:55.250,21.7,92,0.1,-0.04,1.26,-0.08,0,Normal,
20230913 19:43:55.265,21.7,92,0.1,0.02,1.27,-0.07,0,Normal,
20230913 19:43:55.281,20.7,90,0.1,-0.01,1.18,-0.06,0,Normal,
20230913 19:43:55.312,21.2,91,0.1,0.03,1.25,0.03,0,Normal,
20230913 19:43:55.328,21.2,91,0.1,-0.06,1.2,-0.02,0,Normal,
20230913 19:43:55.343,21,91,0.1,-0.01,1.24,-0.03,0,Normal,
20230913 19:43:55.359,21,91,0.1,0,1.13,-0.04,0,Normal,
20230913 19:43:55.375,21.5,92,0.1,-0.04,1.25,-0.15,0,Normal,
20230913 19:43:55.390,21.2,91,0.1,0.02,1.16,-0.12,0,Normal,
20230913 19:43:55.406,21.4,91,0.1,0,1.22,-0.1,0,Normal,
20230913 19:43:55.421,21,91,0.1,-0.05,1.27,-0.05,0,Normal,
20230913 19:43:55.437,21.1,91,0.1,0.01,1.26,-0.1,0,Normal,
20230913 19:43:55.453,20.7,90,0.2,-0.08,1.3,-0.09,0,Normal,
20230913 19:43:55.468,20.7,90,0.2,0,1.25,-0.12,0,Normal,
20230913 19:43:55.484,21.5,92,0.2,-0.03,1.25,-0.11,0,Normal,
20230913 19:43:55.500,21.7,92,0.2,-0.02,1.2,-0.08,0,Normal,
20230913 19:43:55.515,21.7,92,0.2,-0.01,1.27,-0.11,0,Normal,
20230913 19:43:55.531,20.5,90,0.3,0,1.15,-0.01,0,Normal,
20230913 19:43:55.546,21.5,92,0.3,-0.02,1.21,-0.03,0,Normal,
20230913 19:43:55.578,20.3,89,0.3,-0.01,1.13,-0.12,0,Normal,
20230913 19:43:55.593,20.1,89,0.3,-0.02,1.32,-0.1,0,Normal,
20230913 19:43:55.609,21.6,92,0.3,0,1.2,-0.13,0,Normal,
20230913 19:43:55.625,20.2,89,0.3,-0.04,1.2,-0.07,0,Normal,
20230913 19:43:55.640,21.1,91,0.3,0,1.19,-0.04,0,Normal,
20230913 19:43:55.656,21.9,92,0.4,-0.02,1.19,-0.05,0,Normal,
20230913 19:43:55.671,20.4,89,0.3,0.01,1.17,-0.05,0,Normal,
20230913 19:43:55.687,21.4,91,0.4,0.01,1.2,-0.05,0,Normal,
20230913 19:43:55.703,21.1,91,0.4,-0.11,1.32,-0.24,0,Normal,
20230913 19:43:55.718,19.9,88,0.4,0,1.11,-0.02,0,Normal,
20230913 19:43:55.734,22,93,0.4,-0.01,1.21,-0.06,0,Normal,
20230913 19:43:55.750,21.6,92,0.4,-0.02,1.16,-0.05,0,Normal,
20230913 19:43:55.765,19.8,88,0.4,-0.03,1.23,-0.15,0,Normal,
20230913 19:43:55.781,22.4,94,0.4,-0.01,1.17,-0.02,0,Normal,
20230913 19:43:55.796,20.9,90,0.4,-0.02,1.25,-0.04,0,Normal,
20230913 19:43:55.812,20.4,89,0.4,0.02,1.2,-0.01,0,Normal,
20230913 19:43:55.843,21.8,92,0.4,0,1.17,-0.04,0,Normal,
20230913 19:43:55.859,21.4,92,0.4,0,1.23,-0.06,0,Normal,
20230913 19:43:55.875,20.2,89,0.4,-0.09,1.24,-0.17,0,Normal,
20230913 19:43:55.890,22,93,0.4,-0.01,1.3,-0.04,0,Normal,
20230913 19:43:55.906,20.8,90,0.4,-0.02,1.13,0,0,Normal,
20230913 19:43:55.921,19.6,87,0.4,0.01,1.22,-0.12,0,Normal,
20230913 19:43:55.937,22.2,93,0.5,-0.02,1.13,-0.11,0,Normal,
20230913 19:43:55.953,21.5,92,0.5,-0.06,1.2,-0.12,0,Normal,
20230913 19:43:55.968,20.4,89,0.5,-0.02,1.15,-0.07,0,Normal,
20230913 19:43:55.984,19.9,88,0.6,0.06,1.12,-0.09,0,Normal,
20230913 19:43:56.000,22.3,93,0.6,0,1.13,0.09,0,Normal,
20230913 19:43:56.015,20.4,89,0.6,-0.02,1.27,-0.04,0,Normal,
20230913 19:43:56.031,20.7,90,0.6,-0.04,1.16,-0.06,0,Normal,
20230913 19:43:56.046,21.5,92,0.5,-0.02,1.21,-0.18,0,Normal,
20230913 19:43:56.062,20.9,90,0.5,0.01,1.22,-0.09,0,Normal,
20230913 19:43:56.078,20.6,90,0.5,0.03,1.16,-0.07,0,Normal,
20230913 19:43:56.109,21.3,91,0.6,0.01,1.27,-0.02,0,Normal,
20230913 19:43:56.125,20.8,90,0.6,0.01,1.13,-0.12,0,Normal,
20230913 19:43:56.140,19.7,88,0.6,-0.02,1.21,-0.08,0,Normal,
20230913 19:43:56.156,21.4,91,0.6,0.01,1.06,-0.09,0,Normal,
20230913 19:43:56.171,18.6,85,0.7,-0.1,1.24,0,0,Normal,
20230913 19:43:56.187,21.3,91,0.7,-0.03,1.21,0,0,Normal,
20230913 19:43:56.203,21.1,91,0.7,-0.01,1.22,0.03,0,Normal,
20230913 19:43:56.218,20.7,90,0.7,0.04,1.19,-0.11,0,Normal,
20230913 19:43:56.234,21,91,0.8,-0.04,1.2,-0.03,0,Normal,
20230913 19:43:56.250,20.9,90,0.8,0.02,1.21,0.02,0,Normal,
20230913 19:43:56.265,20.1,89,0.8,0.01,1.17,-0.05,0,Normal,
20230913 19:43:56.281,21.5,92,0.8,-0.02,1.15,-0.08,0,Normal,
20230913 19:43:56.296,21,91,0.8,-0.06,1.14,0.01,0,Normal,
20230913 19:43:56.312,19.6,87,0.8,-0.04,1.24,-0.08,0,Normal,
20230913 19:43:56.328,22.1,93,0.8,0.03,1.09,0.03,0,Normal,
20230913 19:43:56.343,20.3,89,0.8,-0.02,1.21,0.02,0,Normal,
20230913 19:43:56.375,21.3,91,0.9,-0.01,1.17,-0.05,0,Normal,
20230913 19:43:56.390,20.7,90,0.9,-0.04,1.22,0.1,0,Normal,
20230913 19:43:56.406,21.5,92,0.9,0.02,1.12,0.03,0,Normal,
20230913 19:43:56.421,21.2,91,0.9,0,1.22,0,0,Normal,
20230913 19:43:56.437,19.5,87,0.9,0.05,1.12,-0.03,0,Normal,
20230913 19:43:56.453,20.5,89,0.9,0.02,1.15,-0.09,0,Normal,
20230913 19:43:56.468,21.7,92,0.9,0.04,1.11,0.09,0,Normal,
20230913 19:43:56.484,19.9,88,0.9,0.02,1.16,-0.04,0,Normal,
20230913 19:43:56.500,20.6,90,0.9,0,1.2,-0.01,0,Normal,
20230913 19:43:56.515,21.4,91,0.9,-0.01,1.2,0.02,0,Normal,
20230913 19:43:56.531,20.2,89,0.9,-0.05,1.25,-0.03,0,Normal,
20230913 19:43:56.546,21.5,92,0.9,0.03,1.22,0.01,0,Normal,
20230913 19:43:56.562,20.6,90,0.9,-0.02,1.12,-0.08,0,Normal,
20230913 19:43:56.578,20.6,90,0.9,-0.01,1.15,-0.11,0,Normal,
20230913 19:43:56.593,20.7,90,1,-0.03,1.22,-0.04,0,Normal,
20230913 19:43:56.609,21,91,1,0.01,1.19,-0.14,0,Normal,
20230913 19:43:56.640,20.9,90,1,-0.01,1.19,-0.05,0,Normal,
20230913 19:43:56.656,21.4,92,1.1,-0.01,1.17,-0.11,0,Normal,
20230913 19:43:56.671,20.8,90,1.1,-0.04,1.16,-0.09,0,Normal,
20230913 19:43:56.687,20,88,1.1,-0.05,1.29,-0.08,0,Normal,
20230913 19:43:56.703,21.1,91,1.1,0.01,1.09,-0.05,0,Normal,
20230913 19:43:56.718,21,91,1.1,0.01,1.17,-0.01,0,Normal,
20230913 19:43:56.734,20.6,90,1.1,0,1.15,-0.09,0,Normal,
20230913 19:43:56.750,21.8,92,1.1,-0.02,1.19,-0.06,0,Normal,
20230913 19:43:56.765,20.2,89,1.1,-0.01,1.21,-0.1,0,Normal,
20230913 19:43:56.781,19.5,87,1.2,-0.06,1.23,-0.11,0,Normal,
20230913 19:43:56.796,22.6,94,1.2,0.01,1.19,-0.04,0,Normal,
20230913 19:43:56.812,19.7,88,1.2,-0.02,1.25,-0.09,0,Normal,
20230913 19:43:56.828,20.7,90,1.2,-0.01,1.17,-0.09,0,Normal,
20230913 19:43:56.843,21.2,91,1.2,-0.02,1.17,-0.18,0,Normal,
20230913 19:43:56.859,21.7,92,1.2,-0.07,1.2,-0.07,0,Normal,
20230913 19:43:56.875,20.2,89,1.2,-0.04,1.2,-0.08,0,Normal,
20230913 19:43:56.906,20.4,89,1.3,-0.01,1.22,0.02,0,Normal,
20230913 19:43:56.921,23.1,95,1.3,0,1.18,-0.17,0,Normal,
20230913 19:43:56.937,19.9,88,1.3,-0.06,1.24,-0.04,0,Normal,
20230913 19:43:56.953,21,91,1.3,0.01,1.2,-0.06,0,Normal,
20230913 19:43:56.968,22.4,94,1.3,-0.03,1.3,-0.05,0,Normal,
20230913 19:43:56.984,21.2,91,1.4,-0.04,1.24,-0.21,0,Normal,
20230913 19:43:57.000,19.7,88,1.5,-0.06,1.25,-0.13,0,Normal,
20230913 19:43:57.015,22.3,93,1.5,-0.04,1.19,-0.11,0,Normal,
